Entity,Code,Day,Weekly deaths
United Kingdom,GBR,2021-02-18,4391
United Kingdom,GBR,2021-02-19,4184
United Kingdom,GBR,2021-02-20,4030
United Kingdom,GBR,2021-02-21,3864
United Kingdom,GBR,2021-02-22,3730
United Kingdom,GBR,2021-02-23,3539
United Kingdom,GBR,2021-02-24,3303
United Kingdom,GBR,2021-02-25,3114
United Kingdom,GBR,2021-02-26,2976
United Kingdom,GBR,2021-02-27,2810
United Kingdom,GBR,2021-02-28,2644
United Kingdom,GBR,2021-03-01,2500
United Kingdom,GBR,2021-03-02,2369
United Kingdom,GBR,2021-03-03,2287
United Kingdom,GBR,2021-03-04,2151
United Kingdom,GBR,2021-03-05,2003
United Kingdom,GBR,2021-03-06,1882
United Kingdom,GBR,2021-03-07,1801
United Kingdom,GBR,2021-03-08,1702
United Kingdom,GBR,2021-03-09,1619
United Kingdom,GBR,2021-03-10,1520
United Kingdom,GBR,2021-03-11,1461
United Kingdom,GBR,2021-03-12,1404
United Kingdom,GBR,2021-03-13,1343
United Kingdom,GBR,2021-03-14,1256
United Kingdom,GBR,2021-03-15,1182
United Kingdom,GBR,2021-03-16,1123
United Kingdom,GBR,2021-03-17,1065
United Kingdom,GBR,2021-03-18,995
United Kingdom,GBR,2021-03-19,961
United Kingdom,GBR,2021-03-20,888
United Kingdom,GBR,2021-03-21,857
United Kingdom,GBR,2021-03-22,823
United Kingdom,GBR,2021-03-23,812
United Kingdom,GBR,2021-03-24,780
United Kingdom,GBR,2021-03-25,761
United Kingdom,GBR,2021-03-26,704
United Kingdom,GBR,2021-03-27,683
United Kingdom,GBR,2021-03-28,654
United Kingdom,GBR,2021-03-29,618
United Kingdom,GBR,2021-03-30,541
United Kingdom,GBR,2021-03-31,505
United Kingdom,GBR,2021-04-01,466
United Kingdom,GBR,2021-04-02,469
United Kingdom,GBR,2021-04-03,453
United Kingdom,GBR,2021-04-04,428
United Kingdom,GBR,2021-04-05,405
United Kingdom,GBR,2021-04-06,408
United Kingdom,GBR,2021-04-07,382
United Kingdom,GBR,2021-04-08,371
United Kingdom,GBR,2021-04-09,344
United Kingdom,GBR,2021-04-10,342
United Kingdom,GBR,2021-04-11,330
United Kingdom,GBR,2021-04-12,331
United Kingdom,GBR,2021-04-13,319
United Kingdom,GBR,2021-04-14,312
United Kingdom,GBR,2021-04-15,314
United Kingdom,GBR,2021-04-16,303
United Kingdom,GBR,2021-04-17,285
United Kingdom,GBR,2021-04-18,279
United Kingdom,GBR,2021-04-19,278
United Kingdom,GBR,2021-04-20,268
United Kingdom,GBR,2021-04-21,252
United Kingdom,GBR,2021-04-22,240
United Kingdom,GBR,2021-04-23,241
United Kingdom,GBR,2021-04-24,231
United Kingdom,GBR,2021-04-25,228
United Kingdom,GBR,2021-04-26,210
United Kingdom,GBR,2021-04-27,206
United Kingdom,GBR,2021-04-28,205
United Kingdom,GBR,2021-04-29,195
United Kingdom,GBR,2021-04-30,180
United Kingdom,GBR,2021-05-01,164
United Kingdom,GBR,2021-05-02,151
United Kingdom,GBR,2021-05-03,143
United Kingdom,GBR,2021-05-04,135
United Kingdom,GBR,2021-05-05,131
United Kingdom,GBR,2021-05-06,121
United Kingdom,GBR,2021-05-07,122
United Kingdom,GBR,2021-05-08,122
United Kingdom,GBR,2021-05-09,124
United Kingdom,GBR,2021-05-10,128
United Kingdom,GBR,2021-05-11,120
United Kingdom,GBR,2021-05-12,111
United Kingdom,GBR,2021-05-13,117
United Kingdom,GBR,2021-05-14,110
United Kingdom,GBR,2021-05-15,108
United Kingdom,GBR,2021-05-16,104
United Kingdom,GBR,2021-05-17,99
United Kingdom,GBR,2021-05-18,102
United Kingdom,GBR,2021-05-19,107
United Kingdom,GBR,2021-05-20,97
United Kingdom,GBR,2021-05-21,86
United Kingdom,GBR,2021-05-22,78
United Kingdom,GBR,2021-05-23,82
United Kingdom,GBR,2021-05-24,71
United Kingdom,GBR,2021-05-25,73
United Kingdom,GBR,2021-05-26,76
United Kingdom,GBR,2021-05-27,76
United Kingdom,GBR,2021-05-28,86
United Kingdom,GBR,2021-05-29,87
United Kingdom,GBR,2021-05-30,83
United Kingdom,GBR,2021-05-31,91
United Kingdom,GBR,2021-06-01,84
United Kingdom,GBR,2021-06-02,79
United Kingdom,GBR,2021-06-03,78
United Kingdom,GBR,2021-06-04,76
United Kingdom,GBR,2021-06-05,84
United Kingdom,GBR,2021-06-06,84
United Kingdom,GBR,2021-06-07,79
United Kingdom,GBR,2021-06-08,83
United Kingdom,GBR,2021-06-09,78
United Kingdom,GBR,2021-06-10,83
United Kingdom,GBR,2021-06-11,88
United Kingdom,GBR,2021-06-12,88
United Kingdom,GBR,2021-06-13,87
United Kingdom,GBR,2021-06-14,92
United Kingdom,GBR,2021-06-15,91
United Kingdom,GBR,2021-06-16,98
United Kingdom,GBR,2021-06-17,104
United Kingdom,GBR,2021-06-18,103
United Kingdom,GBR,2021-06-19,96
United Kingdom,GBR,2021-06-20,100
United Kingdom,GBR,2021-06-21,108
United Kingdom,GBR,2021-06-22,118
United Kingdom,GBR,2021-06-23,118
United Kingdom,GBR,2021-06-24,115
United Kingdom,GBR,2021-06-25,108
United Kingdom,GBR,2021-06-26,128
United Kingdom,GBR,2021-06-27,133
United Kingdom,GBR,2021-06-28,130
United Kingdom,GBR,2021-06-29,132
United Kingdom,GBR,2021-06-30,137
United Kingdom,GBR,2021-07-01,143
United Kingdom,GBR,2021-07-02,160
United Kingdom,GBR,2021-07-03,159
United Kingdom,GBR,2021-07-04,168
United Kingdom,GBR,2021-07-05,182
United Kingdom,GBR,2021-07-06,188
United Kingdom,GBR,2021-07-07,197
United Kingdom,GBR,2021-07-08,208
United Kingdom,GBR,2021-07-09,217
United Kingdom,GBR,2021-07-10,231
United Kingdom,GBR,2021-07-11,253
United Kingdom,GBR,2021-07-12,267
United Kingdom,GBR,2021-07-13,272
United Kingdom,GBR,2021-07-14,287
United Kingdom,GBR,2021-07-15,302
United Kingdom,GBR,2021-07-16,314
United Kingdom,GBR,2021-07-17,326
United Kingdom,GBR,2021-07-18,328
United Kingdom,GBR,2021-07-19,342
United Kingdom,GBR,2021-07-20,379
United Kingdom,GBR,2021-07-21,424
United Kingdom,GBR,2021-07-22,442
United Kingdom,GBR,2021-07-23,455
United Kingdom,GBR,2021-07-24,487
United Kingdom,GBR,2021-07-25,515
United Kingdom,GBR,2021-07-26,524
United Kingdom,GBR,2021-07-27,525
United Kingdom,GBR,2021-07-28,517
United Kingdom,GBR,2021-07-29,525
United Kingdom,GBR,2021-07-30,549
United Kingdom,GBR,2021-07-31,551
United Kingdom,GBR,2021-08-01,573
United Kingdom,GBR,2021-08-02,596
United Kingdom,GBR,2021-08-03,620
United Kingdom,GBR,2021-08-04,633
United Kingdom,GBR,2021-08-05,637
United Kingdom,GBR,2021-08-06,645
United Kingdom,GBR,2021-08-07,658
United Kingdom,GBR,2021-08-08,651
United Kingdom,GBR,2021-08-09,666
United Kingdom,GBR,2021-08-10,652
United Kingdom,GBR,2021-08-11,644
United Kingdom,GBR,2021-08-12,649
United Kingdom,GBR,2021-08-13,645
United Kingdom,GBR,2021-08-14,650
United Kingdom,GBR,2021-08-15,650
United Kingdom,GBR,2021-08-16,647
United Kingdom,GBR,2021-08-17,655
United Kingdom,GBR,2021-08-18,660
United Kingdom,GBR,2021-08-19,677
United Kingdom,GBR,2021-08-20,700
United Kingdom,GBR,2021-08-21,709
United Kingdom,GBR,2021-08-22,738
United Kingdom,GBR,2021-08-23,751
United Kingdom,GBR,2021-08-24,788
United Kingdom,GBR,2021-08-25,819
United Kingdom,GBR,2021-08-26,835
United Kingdom,GBR,2021-08-27,830
United Kingdom,GBR,2021-08-28,840
United Kingdom,GBR,2021-08-29,852
United Kingdom,GBR,2021-08-30,870
United Kingdom,GBR,2021-08-31,881
United Kingdom,GBR,2021-09-01,869
United Kingdom,GBR,2021-09-02,879
United Kingdom,GBR,2021-09-03,898
